unittitle	word	ratio
Bapaume, Peufier dit	Pommery, Gabriel dit La Champignère	86
Durand,Jean	Durand, Jean	96
Duranteau,la nommée	Duranteau, la nommée	97
Durivaud (Alias Du Rivau,Du Rivaux	Durivaud	90
Duroulet,Delle	Duroulet, Demoiselle	82
Dusablé,veuve et sa mère	Dusablé, veuve et sa mère	98
Dussault (alias Dusault)	Dusault	90
Duthora	Duthoya	86
Duverdet,la nommée	Duverdet, la nommée	97
Esmon (alias Edmond)	Esmon	90
Etienne de Chamflorie	Etienne de Champflour	90
Farcot,Elisabeth	Farcot, Elisabeth	97
Faurès,Antoine	Faurès, Antoine	96
Fenelon	E	90
Ferrié (alias Le Ferrier)	Ferrier	90
Fichon,Pierre	Fichon, Pierre	96
Folleville,sieur de	Folleville, sieur de	97
Fontaine,François dit Saint Orange	François	90
Fonteneau (alias Fontenau)	Fonteneau	90
Forestier,veuve	Forestier, veuve	97
Fortunezay,Brigaud de	Fortunezay, Brigaud de	98
Fouras,sieur de	Fouras, sieur de	97
Fourment,Chevalier de	Fourment, Chevalier de	98
Fourneau,Jacques	Fourneau, Jacques	97
Fournier,Jean-Pierre	Fournier, Jean-Pierre	98
Francy,sieur de	Francy, sieur de	97
Frappé,Pierre	Frappé, Pierre	96
Fremy,dit Bel-air	Remy	90
Friquet,Dame	Friquet, Dame	96
Froulay,sieur de	Froulay, sieur de	97
Gabet,Melle	Gabet	90
Gache,Pierre	Gache, Pierre	96
Galet,la femme	La Fée	90
Galliffet,sieur de	Galliffet, sieur de	97
Galocheau,Marie	Galocheau, Marie	97
Gannes,sieur de	Gannes, sieur de	97
Gardet,veuve	Gardet, veuve	96
Garnier,Jean	Garnier, Jean	96
Gastebois,demoiselle (alias Gattebois)	Gastebois	90
Gaudin,dit Beaulieu	Beaulieu	90
Gaudy,Jean dit Delorme	Delorme	90
Gaulier,Louis	Gaulier, Louis	96
Gaulin,Marie-Thérèse	Gaulin, Marie-Thérèse	97
Gautier,Alexandre	Gautier, Alexandre	97
Gautier,l'Abbé	Gautier, l'Abbé	96
Gautier,Louis	Gautier, Louis	96
Geay,Marthe	Geay, Marthe	96
Geneteau (alias Genneteau)	Geneteau	90
Gennes,Madame de	Gennes, Madame de	97
Gennes de Bourchevreuil,sieur de	Gennes de Bourchevreuil, sieur de	98
Germé,frères	Germé, frères	95
Gibanel,sieur de	Gibanel, sieur de	97
Gillet,Jean	Gillet, Jean	96
Glénisson,la nommée	Glénisson, la nommée	97
Godefroy,Henry	Godefroy, Henry	97
Gombaud de La Croix,Delle	Gombaud	90
Gouchon,Suzanne	Gouchon, Suzanne	97
Goupll	Goupil	83
Gourreau (alias Gouraud)	Gourreau	90
Gourville-Tivas,sieur de	Gourville-Tivas, sieur de	98
Gouye,le P.jésuite	Gouye, le père jésuite	92
Grailly,Chevalier de	Grailly, Chevalier de	98
Grandmaison,la nommée	Grandmaison, la nommée	98
